dataset,lib,n_trees,max_abs_diff,ok
breast,lgb,100,7.742591251230953e-08,True
breast,lgb,500,1.2100763768785328e-07,True
breast,lgb,2000,1.2100763768785328e-07,True
breast,xgb,100,1.1920928955078125e-07,True
breast,xgb,500,2.384185791015625e-07,True
breast,xgb,2000,1.5914440155029297e-05,True
breast,cat,100,8.234916504257228e-08,True
breast,cat,500,1.8938314294558722e-07,True
breast,cat,2000,2.854668845996e-07,True
calif,lgb,100,2.180563650533429e-06,True
calif,lgb,500,3.5087830720925695e-06,True
calif,lgb,2000,1.556147307635314e-05,True
calif,xgb,100,2.384185791015625e-06,True
calif,xgb,500,6.67572021484375e-06,True
calif,xgb,2000,1.3828277587890625e-05,True
calif,cat,100,9.599603065790774e-07,True
calif,cat,500,3.1431069480447604e-06,True
calif,cat,2000,4.257025147502702e-06,True
covtype,lgb,100,1.9768310000056744e-07,True
covtype,lgb,500,4.167177256597654e-07,True
covtype,xgb,100,7.152557373046875e-07,True
covtype,xgb,500,1.0132789611816406e-06,True
covtype,cat,100,7.910744991290741e-07,True
covtype,cat,500,1.9731318723348323e-06,True
