dataset,lib,fmt,n_trees,task,n_features,loader,artifact,bytes,export_s,train_s,status,error
breast,lgb,pickle,100,binary,30,lgb_pickle,/content/coldstart/artifacts/breast__lgb__t100.pkl,242134,0.0066577170000527985,0.08152233499981776,ok,
breast,lgb,joblib,100,binary,30,lgb_joblib,/content/coldstart/artifacts/breast__lgb__t100.joblib,242308,0.008363569000039206,0.08152233499981776,ok,
breast,lgb,native,100,binary,30,lgb_native,/content/coldstart/artifacts/breast__lgb__t100.lgbtxt,240319,0.00638189399978728,0.08152233499981776,ok,
breast,lgb,onnx,100,binary,30,lgb_onnx,/content/coldstart/artifacts/breast__lgb__t100.onnx,148401,0.07791454600010184,0.08152233499981776,ok,
breast,lgb,pickle,500,binary,30,lgb_pickle,/content/coldstart/artifacts/breast__lgb__t500.pkl,444368,0.019251701000030152,0.15334929499999816,ok,
breast,lgb,joblib,500,binary,30,lgb_joblib,/content/coldstart/artifacts/breast__lgb__t500.joblib,444548,0.01288944300017647,0.15334929499999816,ok,
breast,lgb,native,500,binary,30,lgb_native,/content/coldstart/artifacts/breast__lgb__t500.lgbtxt,442551,0.010795706000180871,0.15334929499999816,ok,
breast,lgb,onnx,500,binary,30,lgb_onnx,/content/coldstart/artifacts/breast__lgb__t500.onnx,238371,0.16496942100002343,0.15334929499999816,ok,
breast,lgb,pickle,2000,binary,30,lgb_pickle,/content/coldstart/artifacts/breast__lgb__t2000.pkl,444369,0.015174809999962235,0.22644201900016014,ok,
breast,lgb,joblib,2000,binary,30,lgb_joblib,/content/coldstart/artifacts/breast__lgb__t2000.joblib,444548,0.015330136999864408,0.22644201900016014,ok,
breast,lgb,native,2000,binary,30,lgb_native,/content/coldstart/artifacts/breast__lgb__t2000.lgbtxt,442552,0.012948891000178264,0.22644201900016014,ok,
breast,lgb,onnx,2000,binary,30,lgb_onnx,/content/coldstart/artifacts/breast__lgb__t2000.onnx,238371,0.19218606899994484,0.22644201900016014,ok,
breast,xgb,pickle,100,binary,30,xgb_pickle,/content/coldstart/artifacts/breast__xgb__t100.pkl,113921,0.007741907000081483,0.1331266009999581,ok,
breast,xgb,joblib,100,binary,30,xgb_joblib,/content/coldstart/artifacts/breast__xgb__t100.joblib,113946,0.003597993000084898,0.1331266009999581,ok,
breast,xgb,native,100,binary,30,xgb_native,/content/coldstart/artifacts/breast__xgb__t100.ubj,103706,0.0014084900001307687,0.1331266009999581,ok,
breast,xgb,onnx,100,binary,30,xgb_onnx,/content/coldstart/artifacts/breast__xgb__t100.onnx,34765,0.03321151099999042,0.1331266009999581,ok,
breast,xgb,pickle,500,binary,30,xgb_pickle,/content/coldstart/artifacts/breast__xgb__t500.pkl,420309,0.010488497000096686,0.2852434339999945,ok,
breast,xgb,joblib,500,binary,30,xgb_joblib,/content/coldstart/artifacts/breast__xgb__t500.joblib,420334,0.010080176999963442,0.2852434339999945,ok,
breast,xgb,native,500,binary,30,xgb_native,/content/coldstart/artifacts/breast__xgb__t500.ubj,410093,0.007465916000001016,0.2852434339999945,ok,
breast,xgb,onnx,500,binary,30,xgb_onnx,/content/coldstart/artifacts/breast__xgb__t500.onnx,76910,0.054419994999989285,0.2852434339999945,ok,
breast,xgb,pickle,2000,binary,30,xgb_pickle,/content/coldstart/artifacts/breast__xgb__t2000.pkl,1462599,0.03182518399989931,0.6018551619999926,ok,
breast,xgb,joblib,2000,binary,30,xgb_joblib,/content/coldstart/artifacts/breast__xgb__t2000.joblib,1462624,0.028139968000004956,0.6018551619999926,ok,
breast,xgb,native,2000,binary,30,xgb_native,/content/coldstart/artifacts/breast__xgb__t2000.ubj,1452382,0.02730790900000102,0.6018551619999926,ok,
breast,xgb,onnx,2000,binary,30,xgb_onnx,/content/coldstart/artifacts/breast__xgb__t2000.onnx,133576,0.07709399299983488,0.6018551619999926,ok,
