dataset,lib,fmt,n_trees,batch,bytes,t_numpy_s,t_import_s,t_load_s,t_first_pred_s,t_steady_p50_s,t_steady_p95_s,ttfp,import_share,n_obs
breast,cat,joblib,100,1,121057.0,0.08484003,1.596315776,0.001652171,0.003993329,0.00044991000000000003,0.000501152,1725.3682510000003,92.64938156417114,5
breast,cat,joblib,100,32,121057.0,0.08617380200000001,1.639491933,0.0015333060000000001,0.0048972550000000005,0.0005388410000000001,0.0006466610000000001,1767.892616,92.73707679765545,5
breast,cat,joblib,100,1024,121057.0,0.075118184,1.6744375950000001,0.001295747,0.006226176000000001,0.0019169290000000002,0.00397727,1799.0948389999999,93.07111324552025,5
breast,cat,joblib,500,1,566858.0,0.076585134,1.6026086959999999,0.001893006,0.003944316000000001,0.00042384800000000005,0.000471578,1728.0335689999997,92.7417571481217,5
breast,cat,joblib,500,32,566858.0,0.074107349,1.6254343640000002,0.002606371,0.0060818930000000005,0.0005838060000000001,0.001421182,1752.3508510000001,92.83434598974748,5
breast,cat,joblib,500,1024,566858.0,0.073973089,1.6100657470000002,0.0018725880000000001,0.006319857000000001,0.0023368480000000003,0.002698937,1739.8150509999998,92.77408088819999,5
breast,cat,joblib,2000,1,2237386.0,0.074797875,1.611524522,0.00477276,0.004206812,0.000471989,0.000531591,1748.14844,92.5223575214617,5
breast,cat,joblib,2000,32,2237386.0,0.074703302,1.598288556,0.004132781,0.005009734,0.000734508,0.000899997,1725.8896419999999,92.60664860053666,5
breast,cat,joblib,2000,1024,2237386.0,0.08256822100000001,1.599068275,0.004125143,0.007823383,0.0037255730000000003,0.004714778,1731.5741320000002,92.54043034482365,5
breast,cat,native,100,1,120184.0,0.07486332500000001,1.6377242170000001,0.0015879280000000002,0.003639092,0.000291729,0.000363054,1761.2606259999998,93.03270358319412,5
breast,cat,native,100,32,120184.0,0.07515527600000001,1.626499627,0.00150716,0.004525746000000001,0.00041588700000000004,0.0005078340000000001,1750.0949460000002,92.8611741389141,5
breast,cat,native,100,1024,120184.0,0.075266681,1.605523674,0.0014713990000000002,0.005189708,0.001063141,0.00148989,1731.32431,92.73384915388844,5
breast,cat,native,500,1,565984.0,0.07516417,1.627444841,0.002361129,0.0035344070000000003,0.00030307200000000004,0.00035050500000000003,1752.229388,92.87126876114404,5
breast,cat,native,500,32,565984.0,0.08608386700000001,1.613514144,0.00251301,0.00462346,0.00045278800000000003,0.0005550350000000001,1749.0592399999998,92.56572603241541,5
breast,cat,native,500,1024,565984.0,0.07583748600000001,1.6000134190000002,0.0025497640000000004,0.005631902,0.001751139,0.002156803,1723.942277,92.62222903281318,5
breast,cat,native,2000,1,2236512.0,0.07970806200000001,1.633712848,0.0065591650000000005,0.004221238,0.000424486,0.00048804900000000006,1762.220976,92.5708546539947,5
breast,cat,native,2000,32,2236512.0,0.07296862900000001,1.612077926,0.006000901,0.0046737770000000005,0.000573296,0.00065923,1739.392247,92.68371237203857,5
breast,cat,native,2000,1024,2236512.0,0.07624548,1.602212163,0.006666818000000001,0.007209601,0.0030747810000000004,0.005996399,1745.9758469999997,92.1874546901402,5
breast,cat,onnx,100,1,538223.0,0.1125108,0.058490746,0.025553302,0.000673448,2.186e-05,3.9774e-05,238.678391,24.751253244001944,5
breast,cat,onnx,100,32,538223.0,0.10981346800000001,0.058988699000000006,0.025846808000000002,0.0009655890000000001,0.00027417,0.00033727100000000004,239.53614300000004,24.707737293479795,5
breast,cat,onnx,100,1024,538223.0,0.076285606,0.042288599,0.016853757,0.006220131,0.005287944,0.006736688,186.37529,22.82168637374768,5
breast,cat,onnx,500,1,2757944.0,0.073609562,0.041226624,0.070012089,0.0007347920000000001,3.0604e-05,4.5076e-05,231.64291700000004,17.876682727221947,5
breast,cat,onnx,500,32,2757944.0,0.075320972,0.045947195,0.069955558,0.001441685,0.000623616,0.000719655,236.83879800000003,19.40019768213821,5
breast,cat,onnx,500,1024,2757944.0,0.07337289,0.041386258,0.071014598,0.019807525000000003,0.017631083000000002,0.021554669000000002,249.01053899999997,16.79092288675751,5
breast,cat,onnx,2000,1,11109288.0,0.079005876,0.041466111,0.284600577,0.0015546910000000002,0.000315634,0.00040468100000000005,445.656106,9.255821226518329,5
breast,cat,onnx,2000,32,11109288.0,0.078804357,0.041518263,0.291136948,0.00356882,0.0021023770000000003,0.002643902,451.601125,9.260745056893022,5
breast,cat,onnx,2000,1024,11109288.0,0.08342579800000001,0.041694116,0.29225291800000003,0.067743014,0.06647784500000001,0.117485027,520.906619,8.004144021061096,5
breast,cat,pickle,100,1,121057.0,0.076106434,1.613195813,0.000932896,0.003914517,0.00040353000000000003,0.00046280400000000004,1737.647947,92.97330615115415,5
breast,cat,pickle,100,32,121057.0,0.07457917800000001,1.590619292,0.0008496430000000001,0.0048902730000000005,0.000542141,0.000608466,1713.3038250000002,92.83930081694645,5
