lib,fmt,import,load,first_pred,ttfp,import_pct
cat,joblib,1611.27,1.9,4.09,1747.87,92.74
cat,native,1633.38,3.39,3.92,1758.88,92.72
cat,onnx,53.08,69.99,0.81,253.81,18.5
cat,pickle,1626.77,2.06,4.2,1756.55,92.76
lgb,joblib,1965.94,12.53,4.27,2156.51,93.48
lgb,native,1962.6,28.7,0.47,2166.1,92.86
lgb,onnx,41.27,25.4,0.59,200.67,21.85
lgb,pickle,1980.31,12.13,4.37,2190.62,93.24
xgb,joblib,1079.28,20.95,2.17,1267.18,88.49
xgb,native,1102.37,22.16,2.7,1297.29,88.37
xgb,onnx,44.79,30.41,0.64,192.88,22.65
xgb,pickle,1084.41,21.73,2.25,1258.54,88.1
